       #time[s],            tag,       mass[kg],           x[m],           y[m],           z[m],        vx[m/s],        vy[m/s],        vz[m/s],      ax[m/s^2],      ay[m/s^2],      az[m/s^2]
              0,             68,            0.1,           -0.2,           -0.9,            1.1,           -1.1,           -0.9,            0.7,            0.2,            2.8,           -5.5
              0,             69,            0.1,            0.9,           -0.7,           -0.1,            1.1,           -0.7,           -2.4,            8.7,           -3.1,            0.7
              0,             70,            0.1,           -1.1,           -0.2,            0.6,           -2.0,           -1.2,           -1.1,            9.2,            0.6,           -4.9
              0,             71,            0.1,            1.4,            1.9,           -0.1,           -1.5,            1.7,           -1.2,           -1.9,           -2.9,           -0.0
              0,             72,            0.1,           -0.1,            0.3,           -1.3,           -1.8,            1.0,            1.9,            2.9,           -3.5,            5.3
              0,             73,            0.1,            1.9,           -0.2,            1.1,           -0.6,            0.7,           -1.2,           -2.4,            0.1,           -1.7
              0,             74,            0.1,           -1.0,            0.5,            1.9,           -2.1,           -0.6,           -1.7,            1.3,           -0.8,           -3.1
              0,             75,            0.1,           -0.2,           -0.7,           -0.0,           -1.2,            2.8,           -2.0,           -2.7,           10.6,           -2.6
              0,             76,            0.1,           -2.2,           -0.6,            0.2,           -0.0,            1.8,            0.3,            3.4,            0.6,           -0.4
              0,             77,            0.1,           -0.9,            0.0,           -0.0,            4.2,            0.2,            1.0,           13.0,            1.0,            4.5
              0,             78,            0.1,            0.3,            0.5,           -0.3,           -0.8,           -2.7,            0.2,           -6.5,           -2.9,            1.4
              0,             79,            0.1,           -0.0,            0.4,           -0.2,            2.0,           -2.7,           -0.6,          -16.5,            7.0,           -0.9
              0,             80,            0.1,           -0.4,            0.2,            0.3,           -0.2,           -0.9,           -0.3,          -15.0,          -12.0,           -1.0
              0,             81,            0.1,           -0.6,           -1.1,            0.1,            0.1,            2.3,            1.2,            2.4,            5.5,            0.4
              0,             82,            0.1,           -0.5,           -0.2,            0.9,            0.9,           -1.4,           -3.9,          135.7,          218.4,          -77.7
              0,             83,            0.1,            0.2,           -0.9,            0.9,            0.7,            1.9,           -0.1,           -4.6,            5.2,           -5.7
              0,             84,            0.1,           -0.1,            0.5,           -0.2,           -4.6,            0.9,            0.1,           14.5,          -19.2,            5.1
              0,             85,            0.1,            0.3,           -0.1,            0.3,            0.3,            2.2,           -2.1,           -6.8,            0.8,           -5.5
              0,             86,            0.1,            0.7,            1.3,           -0.1,            3.5,            4.8,            1.2,           -3.4,           -5.9,           -0.5
              0,             87,            0.1,            0.3,            0.0,           -0.4,           -2.7,            0.7,           -1.2,           -6.8,           -2.1,            2.7
              0,             88,            0.1,            0.2,            0.8,           -1.0,            0.0,           -2.1,            2.5,           -5.8,           -8.9,            8.6
              0,             89,            0.1,            0.4,            0.6,           -0.5,           -3.9,            0.5,            0.8,           -7.6,           -3.3,            4.4
              0,             90,            0.1,           -0.9,            1.2,            1.0,            1.4,           -1.8,           -0.3,            1.7,           -3.4,           -3.2
              0,             91,            0.1,           -0.2,           -0.5,           -0.7,            2.7,            2.1,           -1.2,            0.9,            4.8,            7.3
              0,             92,            0.1,           -0.1,            0.7,           -0.4,            0.1,           -2.0,            0.5,            3.4,           -9.0,            3.4
              0,             93,            0.1,           -1.1,            0.6,            0.6,           -2.0,           -1.0,           -0.6,            6.8,           -1.7,           -5.0
              0,             94,            0.1,            2.2,            0.7,           -3.3,            0.3,           -0.5,           -1.0,           -0.6,           -0.3,            1.0
              0,             95,            0.1,            0.4,            0.0,            1.7,           -0.6,           -0.9,           -1.3,           -1.5,           -0.3,           -3.9
              0,             96,            0.1,            0.5,            0.5,            0.5,            1.5,           -2.6,           -0.0,           -4.6,           -1.1,           -3.3
              0,             97,            0.1,           -0.3,           -1.2,           -0.7,            2.0,            2.3,            1.6,           -3.6,            3.5,            4.1
              0,             98,            0.1,            2.7,           -0.3,           -1.0,           -1.1,            2.8,           -2.6,           -2.3,            0.2,            0.6
              0,             99,            0.1,           -0.4,            1.4,            0.5,           -0.0,           -1.6,            0.3,            1.2,           -5.3,           -1.6
